series,days,rs_from,rs_to,n,hit_rate,mean_excess,median_excess,p25_excess,mean_max_rel_dd,mean_min_rel
roc_20_50_100_w123,10,40,70,1454,0.5144429160935351,0.08740624655822794,0.013228539739777001,-0.12670196052702123,-0.1989318656325392,-0.13029728026542897
roc_20_50_100_w123,10,40,80,581,0.5869191049913941,0.16017513205555164,0.05901844835896397,-0.1119212190331621,-0.22081553135919393,-0.13009700882961614
roc_20_50_100_w123,10,40,90,152,0.618421052631579,0.24879398658026702,0.1031190780791284,-0.14018898267452495,-0.2649911725583737,-0.15196402184513116
roc_20_50_100_w123,20,20,70,938,0.523454157782516,0.12816419874861903,0.02195889510420701,-0.13041164069917013,-0.21879765389970154,-0.13891299570035617
roc_20_50_100_w123,20,20,80,531,0.5668549905838042,0.18508986791626136,0.04746051690321251,-0.13203748603658774,-0.23200224743272543,-0.1364195644925349
roc_20_50_100_w123,20,20,90,222,0.6081081081081081,0.23600848633654078,0.12078817897325056,-0.13549242267337458,-0.2608185451122501,-0.1486965769212013
roc_20_50_100_w123,20,30,70,1697,0.4985268120212139,0.08295949103367609,0.0017093563462264871,-0.12535745942291365,-0.19822785768414056,-0.12890931415284032
roc_20_50_100_w123,20,30,80,884,0.5667420814479638,0.15908465311335704,0.04385432269234224,-0.11182607992774796,-0.21488712689992262,-0.1270607915976348
roc_20_50_100_w123,20,30,90,319,0.6081504702194357,0.224125491977476,0.09408050196916495,-0.13109806926096815,-0.24052764857934858,-0.14020889120987096
roc_20_50_100_w123,20,40,70,2729,0.48992304873580067,0.060255713311248696,-0.0038616485513519594,-0.12860538458660584,-0.18780369115314888,-0.12414658254497554
roc_20_50_100_w123,20,40,80,1365,0.5406593406593406,0.1153732609863088,0.030686454259878926,-0.13382986443268438,-0.20674557035752641,-0.1293943641416599
roc_20_50_100_w123,20,40,90,480,0.58125,0.17169522935960502,0.06651508171918485,-0.13896147994200275,-0.23260198310822622,-0.14278088543261475
roc_20_50_100_w123,30,20,70,1424,0.5077247191011236,0.09674515653830693,0.00632754581900441,-0.12967169352393712,-0.20924687724882057,-0.1338492276970034
roc_20_50_100_w123,30,20,80,822,0.5523114355231143,0.16180870764806898,0.0385847188798798,-0.1346208612340223,-0.22321591657356074,-0.13451057421682225
roc_20_50_100_w123,30,20,90,382,0.5654450261780105,0.1942258881119681,0.06697037103568171,-0.148857452910782,-0.251805300618304,-0.14881812865962354
roc_20_50_100_w123,30,30,70,2405,0.483991683991684,0.06305459404686294,-0.008516511072995336,-0.12651006502757955,-0.1922390675752778,-0.12649926925286967
roc_20_50_100_w123,30,30,80,1329,0.5357411587659895,0.11925937083028637,0.0259138974839761,-0.12811070688874932,-0.2074936074180358,-0.12704792759985592
roc_20_50_100_w123,30,30,90,563,0.5648312611012434,0.17300809422433658,0.058566907110126354,-0.14013223463268093,-0.23456453649777342,-0.13906097036881934
roc_20_50_100_w123,30,40,70,3591,0.47145641882483985,0.04691119900041188,-0.012262336292837572,-0.12891614521323363,-0.1836626614045758,-0.1223832379664914
roc_20_50_100_w123,30,40,80,1938,0.5180598555211559,0.08979757784840083,0.01204557468385703,-0.13432878058512315,-0.2013123753475191,-0.12737041478766087
roc_20_50_100_w123,30,40,90,759,0.5586297760210803,0.1423996451556981,0.049328725266406304,-0.1428714915339152,-0.22707285585128614,-0.13869129886425122
roc_20_50_100_w123,40,20,70,1917,0.48930620761606675,0.07775930118375467,-0.005514901486016077,-0.13285903307459146,-0.20196299071470228,-0.13219898672728164
roc_20_50_100_w123,40,20,80,1152,0.5329861111111112,0.13168100708938027,0.026588280478049064,-0.14246617540972045,-0.21568228268038372,-0.13364075436356562
roc_20_50_100_w123,40,20,90,590,0.559322033898305,0.1588980469448335,0.06096184034734098,-0.15932992154659853,-0.2419968307248917,-0.14488279079595687
roc_20_50_100_w123,40,30,70,3017,0.4749751408684123,0.054409214741602194,-0.011237664516678958,-0.12799290296564012,-0.18732349960951003,-0.12421169653317625
roc_20_50_100_w123,40,30,80,1807,0.5246264526840066,0.10272386123947494,0.01595363881769707,-0.1288972257540727,-0.20059960771733046,-0.12441646133538788
